,,,,,,,,,,,,,,,,
SCHOOL OF COMPUTER AND INFORMATION SCIENCES,,,,,,,,,,,,,,,,
KT - BSIT: BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY Rev# 3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FIRST YEAR,,,,,,,,,,,,,,,,
First Semester,,,,,,Second Semester,,,,,,Summer Sem,,,,
BIT111K,Introduction to Computing,3,2,1,,BIT121K,Discrete Structures 1,3,3,0,,,,,,
BIT112K,Fundamentals of Programming,3,2,1,,BIT122K,Intermediate Programming,3,2,1,,,,,,
MATH101K,Pre-Calculus for non-STEM,(3),3,0,,ETH,Ethics,3,3,0,,,,,,
MMW,Mathematics in the Modern World,3,3,0,,MATH121K,Calculus,3,3,0,,,,,,
NSTP1K,National Service Training Program 1,3,3,0,,NSTP2K,National Service Training Program 2,3,3,0,,,,,,
PE1K,PATH-Fit I (Exercise-based),2,2,0,,PC,Purposive Communication,3,3,0,,,,,,
SOCARTS1,The University and 21st Century Learning,(2),2,0,,PE2K,PATH-Fit II (Exercise program based),2,2,0,,,,,,
STS,"Science, Technology & Society w/ HIV Educ",3,3,0,,RPH,Readings in Philippine History,3,3,0,,,,,,
UTS,Understanding the Self,3,3,0,,SOCARTS2,Special Topics,(2),2,0,,,,,,
,,20,,,,,,23,,,,,,,,
,,,,,,,,,,,,,,,,
SECOND YEAR,,,,,,,,,,,,,,,,
First Semester,,,,,,Second Semester,,,,,,Summer Sem,,,,
AA,Art Appreciation,3,3,0,,BIT221K,Networking and Communications 1,3,2,1,,,,,,
BIT211K,Data Structures and Algorithms,3,2,1,,BIT222K,Database Management (Info Mgt),3,2,1,,,,,,
BIT212K,Object-Oriented Programming 1,3,2,1,,BIT223K,Web Systems Technology,3,2,1,,,,,,
BIT213K,Platform Technologies,3,2,1,,BIT224K,Object-Oriented Programming 2,3,2,1,,,,,,
BIT214K,Social Issues and Professional Practice,3,3,0,,PE4K,PATH-Fit IV (Recreational Activities),2,2,0,,,,,,
PE3K,PATH-Fit III (Sports & Games),2,2,0,,RLW,Rizal's Life and Works,3,3,0,,,,,,
TCW,The Contemporary World,3,3,0,,,,,,,,,,,,
,,20,,,,,,17,,,,,,,,
,,,,,,,,,,,,,,,,
THIRD YEAR,,,,,,,,,,,,,,,,
First Semester,,,,,,Second Semester,,,,,,Summer Sem,,,,
BIT311K,Networking and Communications 2,3,2,1,,BIT321K,Fundamentals of IT Project Management,3,3,0,,BIT401K,Capstone Project 1,3,3,0
BIT312K,Advanced Database Systems,3,2,1,,BIT322K,Applications Development & Emerging Technologies,3,2,1,,BIT402K,Information Assurance and Security 1,3,2,1
BIT313K,Introduction to Software Engineering,3,2,1,,BIT323K,Advanced Software Engineering,3,2,1,,,,,,
BIT314K,Quantitative Methods,3,3,0,,BIT324K,"Presentation,Negotat'n & Consulting Skills in IT",3,3,0,,,,,,
BIT315K,Integrative Programming and Technologies,3,2,1,,BIT325K,Introduction to Human Computer Interaction,3,2,1,,,,,,
GEELEC1,GE Elective1-FILI1,3,3,0,,GEELEC2,GE Elective2-FILI2,3,3,0,,,,,,
,,18,,,,,,18,,,,,,6,,
,,,,,,,,,,,,,,,,
FOURTH YEAR,,,,,,,,,,,,,,,,
First Semester,,,,,,Second Semester,,,,,,Summer Sem,,,,
BIT411K,Capstone Project 2,3,3,0,,BIT421K,Practicum (Incl. CPSO),6,6,0,,,,,,
BIT412K,Information Assurance and Security 2,3,2,1,,BIT422K,Specialization 2,3,2,1,,,,,,
BIT413K,Specialization 1,3,2,1,,BIT423K,Specialization 3,3,2,1,,,,,,
GEELEC3,GE Elective 3,3,3,0,,SVA,Application and Interview,3,3,0,,,,,,
,,12,,,,,,15,,,,,,,,
,,,,,,,,,,,,,,,,
FIFTH YEAR,,,,,,,,,,,,,,,,